epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,33434.1,1.17288,0.57625,0.84041,0.92728,0.83286,0.89037,0.6078,1.09675,0.51104,0.82428,0.0089308,0.0089308,0.0089308
110,33736.6,1.17064,0.57563,0.83973,0.9268,0.8326,0.89019,0.60793,1.09631,0.5108,0.82417,0.0089209,0.0089209,0.0089209
111,34040.3,1.17117,0.57594,0.8393,0.92707,0.83316,0.89023,0.60803,1.09608,0.51052,0.82412,0.008911,0.008911,0.008911
112,34348.4,1.1683,0.57512,0.83995,0.92754,0.83317,0.89029,0.60813,1.09577,0.51028,0.82402,0.0089011,0.0089011,0.0089011
113,34656.4,1.17306,0.57637,0.83997,0.92716,0.83309,0.89041,0.60823,1.09535,0.50999,0.82392,0.0088912,0.0088912,0.0088912
114,34964.8,1.16933,0.57453,0.8395,0.92701,0.83291,0.89049,0.60858,1.09511,0.50973,0.8239,0.0088813,0.0088813,0.0088813
115,35274.6,1.16996,0.57509,0.83968,0.92664,0.83293,0.89045,0.60876,1.09477,0.50956,0.82381,0.0088714,0.0088714,0.0088714
116,35581.3,1.16886,0.57529,0.83915,0.92662,0.83299,0.89059,0.60836,1.09474,0.50943,0.82379,0.0088615,0.0088615,0.0088615
117,35886.5,1.17276,0.57739,0.83955,0.92673,0.83273,0.89074,0.60871,1.0945,0.50918,0.82372,0.0088516,0.0088516,0.0088516
118,36193.7,1.17066,0.57562,0.83916,0.92706,0.83296,0.89105,0.60895,1.09425,0.50909,0.82366,0.0088417,0.0088417,0.0088417
119,36501.6,1.16774,0.57524,0.83945,0.92802,0.83297,0.89123,0.60929,1.09386,0.50884,0.82366,0.0088318,0.0088318,0.0088318
120,36809.6,1.16803,0.57437,0.83949,0.92766,0.8331,0.89106,0.60945,1.09367,0.50881,0.82363,0.0088219,0.0088219,0.0088219
121,37116.1,1.17224,0.57551,0.83891,0.92748,0.83313,0.89138,0.60968,1.09347,0.50858,0.82363,0.008812,0.008812,0.008812
122,37423.6,1.16486,0.57289,0.839,0.92781,0.83346,0.89159,0.60975,1.093,0.50841,0.82368,0.0088021,0.0088021,0.0088021
123,37729.2,1.16516,0.57339,0.83904,0.92683,0.83391,0.89172,0.60989,1.09241,0.5084,0.82357,0.0087922,0.0087922,0.0087922
124,38031.9,1.17002,0.57472,0.83896,0.92827,0.83422,0.89207,0.61033,1.09212,0.50821,0.82353,0.0087823,0.0087823,0.0087823
125,38338.3,1.16674,0.57408,0.83866,0.92794,0.8348,0.89245,0.61056,1.09156,0.50803,0.82347,0.0087724,0.0087724,0.0087724
126,38646.7,1.16723,0.57229,0.83808,0.92746,0.83472,0.89252,0.61072,1.09143,0.50802,0.82342,0.0087625,0.0087625,0.0087625
127,38962.1,1.16688,0.57362,0.83895,0.92714,0.83516,0.89256,0.6104,1.09105,0.50792,0.82336,0.0087526,0.0087526,0.0087526
128,39280.1,1.16541,0.57217,0.83821,0.9276,0.83454,0.89239,0.61071,1.091,0.50775,0.82329,0.0087427,0.0087427,0.0087427
129,39597,1.16528,0.57227,0.83869,0.92784,0.83447,0.8924,0.61063,1.09066,0.50764,0.82328,0.0087328,0.0087328,0.0087328
130,39901,1.16723,0.57331,0.83851,0.92812,0.83469,0.8927,0.61093,1.09041,0.50725,0.82324,0.0087229,0.0087229,0.0087229
131,40210.5,1.16352,0.57123,0.83788,0.92839,0.83518,0.89274,0.6112,1.09002,0.50707,0.82321,0.008713,0.008713,0.008713
132,40513.9,1.16102,0.57033,0.83832,0.9297,0.83465,0.89277,0.61139,1.08974,0.50709,0.82321,0.0087031,0.0087031,0.0087031
133,40815.1,1.16064,0.56997,0.83805,0.92975,0.83462,0.89289,0.61121,1.08949,0.50685,0.82312,0.0086932,0.0086932,0.0086932
134,41117.9,1.16438,0.5724,0.83806,0.92979,0.83539,0.89312,0.61116,1.08909,0.50663,0.82302,0.0086833,0.0086833,0.0086833
135,41425.3,1.16672,0.57284,0.83866,0.92902,0.83589,0.89311,0.61124,1.08919,0.50635,0.82302,0.0086734,0.0086734,0.0086734
136,41732.6,1.16215,0.57029,0.83829,0.92894,0.83629,0.89335,0.61114,1.08898,0.50646,0.82296,0.0086635,0.0086635,0.0086635
137,42045.6,1.16201,0.57021,0.83754,0.92948,0.83588,0.89354,0.61151,1.08869,0.50637,0.82292,0.0086536,0.0086536,0.0086536
138,42353.3,1.16038,0.56942,0.83815,0.92923,0.83545,0.89305,0.61122,1.08851,0.50617,0.82289,0.0086437,0.0086437,0.0086437
